time,seconds_elapsed,acc_z,acc_y,acc_x,gry_z,gry_y,gry_x,gravity_z,gravity_y,gravity_x,mag_z,mag_y,mag_x,qz,qy,qx,qw,roll,pitch,yaw,tacc_z,tacc_y,tacc_x,activity
1.70E+18,5.273329834,0.128398478,0.242563248,0.526458621,-0.472430855,-1.609167695,0.677088737,0.84422195,9.621554375,1.698051333,14.82299995,-27.18159866,27.02299881,0.601358056,0.552153885,0.446160078,0.366654754,-1.630446315,-1.438471079,2.738817453,-0.637687206,8.251648903,0.230608284,walk
1.70E+18,5.283184814,0.903895259,0.490870476,1.428540587,-0.414841682,-1.669952512,0.5714975,0.764356554,9.632248878,1.67509079,14.79859924,-26.9741993,27.14499855,0.597440124,0.553662539,0.447477669,0.369170487,-1.67807138,-1.443837285,2.697599888,-1.174277663,8.263612747,0.386440843,walk
1.70E+18,5.293037354,1.177991152,0.083981514,1.579476953,-0.340208799,-1.314430952,0.461179316,0.701854229,9.640304565,1.655988574,14.78639984,-26.6935997,27.31579971,0.594140351,0.555380583,0.448086262,0.371171594,-1.723203301,-1.448916554,2.656780005,-1.433001637,8.4146595,0.460618347,walk
1.70E+18,5.302871826,1.193907261,-0.415809631,0.93517673,-0.276760846,-0.742533982,0.418570012,0.653111935,9.646958351,1.637072444,14.77419949,-26.52279854,27.41339874,0.591446221,0.557145,0.44805634,0.372862339,-1.763358831,-1.453847766,2.619304657,-1.164706469,8.615956306,0.726520777,walk
1.70E+18,5.3127229,0.768102467,-0.885062218,-0.28206861,-0.230423212,-0.266041934,0.478223056,0.605407476,9.653539658,1.616490841,14.82299995,-26.29100037,27.54759979,0.589272201,0.558786869,0.447610438,0.374379992,-1.797695875,-1.458558083,2.58664155,-0.386141747,8.855537415,1.315753341,walk
1.70E+18,5.322608154,0.061515331,-1.115573883,-1.256119251,-0.147801086,0.04307536,0.57895416,0.551153302,9.659606934,1.599568605,14.79859924,-26.1079998,27.62080002,0.587401509,0.560208917,0.447097808,0.375804454,-1.828492999,-1.462834835,2.557264566,0.579362154,9.219545364,2.012962103,walk
1.70E+18,5.332462402,-0.575690925,-1.389439583,-1.533808231,-0.051863533,0.178493112,0.659978449,0.489899725,9.66438961,1.590587139,14.79859924,-25.93719864,27.8526001,0.585489213,0.561368108,0.446877539,0.377317667,-1.860139847,-1.466629624,2.527724743,1.147059321,9.60030365,2.652443886,walk
1.70E+18,5.342310059,-1.064734221,-1.537660599,-1.374547243,-0.018841309,0.150797054,0.713839293,0.421866089,9.668445587,1.585428119,14.90839958,-25.79080009,28.03559875,0.583354592,0.562452793,0.446991712,0.378870338,-1.897613287,-1.469982982,2.493038416,1.068096161,9.619445801,3.153141975,walk
1.70E+18,5.352163818,-1.523750544,-1.526446342,-1.2057302,-0.106789611,-0.058720969,0.754850745,0.345401824,9.673478127,1.573176503,14.90839958,-25.65659904,28.24300003,0.581097186,0.563649118,0.447267681,0.380233318,-1.942070842,-1.472797394,2.451341391,0.586540639,9.516554832,3.261118174,walk
1.70E+18,5.362014648,-1.701119184,-1.378261566,-1.105531573,-0.252793103,-0.405654043,0.733546078,0.26513201,9.680045128,1.548165917,14.96939945,-25.58339882,28.51140022,0.578948736,0.565047741,0.44743681,0.381234467,-1.990717769,-1.47509408,2.404659271,-0.043369912,9.439984322,3.165106058,walk
1.70E+18,5.37186792,-1.353825092,-1.181541443,-0.801647604,-0.391406566,-0.807047188,0.655717492,0.187106594,9.687718391,1.511123061,14.88399982,-25.42479897,28.68219948,0.577064455,0.566553056,0.447349757,0.381958723,-2.038828135,-1.477097869,2.357594252,-0.38135612,9.351150513,2.786741018,walk
